"","title","author","tags"
"1","Welcome to Analytics Vidhya!","Kunal Jain","Analytics"
"2","Welcome to Analytics Vidhya!","Kunal Jain","Analytics Vidhya"
"3","Welcome to Analytics Vidhya!","Kunal Jain","Business Analytics"
"4","Basics of Predictive modeling","Kunal Jain","Analytics"
"5","Basics of Predictive modeling","Kunal Jain","Business Analytics"
"6","Basics of Predictive modeling","Kunal Jain","case study"
"7","Basics of Predictive modeling","Kunal Jain","Predictive modeling"
"8","How to apply web analytics for e-Commerce websites?","Kunal Jain","Business Analytics"
"9","How to apply web analytics for e-Commerce websites?","Kunal Jain","customer journey"
"10","How to apply web analytics for e-Commerce websites?","Kunal Jain","google analytics"
"11","How to apply web analytics for e-Commerce websites?","Kunal Jain","web analytics"
"12","Creating a simple and effective Sales dashboard (with Qlikview)","Kunal Jain","Business Discovery"
"13","Creating a simple and effective Sales dashboard (with Qlikview)","Kunal Jain","Business Intelligence"
"14","Creating a simple and effective Sales dashboard (with Qlikview)","Kunal Jain","Dashboard"
"15","Creating a simple and effective Sales dashboard (with Qlikview)","Kunal Jain","Qlikview"
"16","Creating a simple and effective Sales dashboard (with Qlikview) – Part 2","Kunal Jain","box chart"
"17","Creating a simple and effective Sales dashboard (with Qlikview) – Part 2","Kunal Jain","Business Discovery"
"18","Creating a simple and effective Sales dashboard (with Qlikview) – Part 2","Kunal Jain","Business Intelligence"
"19","Creating a simple and effective Sales dashboard (with Qlikview) – Part 2","Kunal Jain","Dashboard"
"20","Creating a simple and effective Sales dashboard (with Qlikview) – Part 2","Kunal Jain","Qlikview"
"21","How to identify a good (and bad) Business Analyst?","Kunal Jain","BA"
"22","How to identify a good (and bad) Business Analyst?","Kunal Jain","Business Analyst"
"23","How to identify a good (and bad) Business Analyst?","Kunal Jain","interview"
"24","How to identify a good (and bad) Business Analyst?","Kunal Jain","managing analysts"
"25","How to identify a good (and bad) Business Analyst?","Kunal Jain","skills"
"26","Joining / Merging in SAS – alternate approaches (including really efficient ones!)","Kunal Jain","Business Analytics"
"27","Joining / Merging in SAS – alternate approaches (including really efficient ones!)","Kunal Jain","Merge"
"28","Joining / Merging in SAS – alternate approaches (including really efficient ones!)","Kunal Jain","PROC format"
"29","Joining / Merging in SAS – alternate approaches (including really efficient ones!)","Kunal Jain","SAS"
"30","The art of structured thinking and analyzing","Kunal Jain","Business Analyst"
"31","The art of structured thinking and analyzing","Kunal Jain","Business Analytics"
"32","The art of structured thinking and analyzing","Kunal Jain","structured thinking"
"33","What is Business Analytics and which tools are used for analysis?","Kunal Jain","Big data"
"34","What is Business Analytics and which tools are used for analysis?","Kunal Jain","Business Analytics"
"35","What is Business Analytics and which tools are used for analysis?","Kunal Jain","Excel"
"36","What is Business Analytics and which tools are used for analysis?","Kunal Jain","Hadoop"
"37","What is Business Analytics and which tools are used for analysis?","Kunal Jain","SAS"
"38","Common mistakes analysts make during analysis and how to avoid them?","Kunal Jain","bias"
"39","Common mistakes analysts make during analysis and how to avoid them?","Kunal Jain","Business Analyst"
"40","Common mistakes analysts make during analysis and how to avoid them?","Kunal Jain","Business Analytics"
"41","Common mistakes analysts make during analysis and how to avoid them?","Kunal Jain","error"
"42","How to implement an analytics solution for a business problem?","Kunal Jain","Analytics"
"43","How to implement an analytics solution for a business problem?","Kunal Jain","BA"
"44","How to implement an analytics solution for a business problem?","Kunal Jain","Business Analytics"
"45","How to implement an analytics solution for a business problem?","Kunal Jain","Business Intelligence"
"46","How to implement an analytics solution for a business problem?","Kunal Jain","Project management"
"47","Limitations of Pre vs. Post analysis and Importance of testing","Kunal Jain","A/B testing"
"48","Limitations of Pre vs. Post analysis and Importance of testing","Kunal Jain","Business Analytics"
"49","Limitations of Pre vs. Post analysis and Importance of testing","Kunal Jain","Business Discovery"
"50","Limitations of Pre vs. Post analysis and Importance of testing","Kunal Jain","experiments"
"51","Limitations of Pre vs. Post analysis and Importance of testing","Kunal Jain","testing"
"52","Advanced analytics certifications in India","Kunal Jain","Analytics training"
"53","Advanced analytics certifications in India","Kunal Jain","Business Analytics"
"54","Advanced analytics certifications in India","Kunal Jain","Business Intelligence"
"55","Advanced analytics certifications in India","Kunal Jain","training"
"56","How to become an analytics rockstar?","Kunal Jain","Analytics training"
"57","How to become an analytics rockstar?","Kunal Jain","Business Analyst"
"58","How to become an analytics rockstar?","Kunal Jain","Business Analytics"
"59","How to become an analytics rockstar?","Kunal Jain","Business Intelligence"
"60","How to become an analytics rockstar?","Kunal Jain","training"
"61","What is big data and how is big data architecture designed?","Kunal Jain","Big data"
"62","What is big data and how is big data architecture designed?","Kunal Jain","big data solution"
"63","What is big data and how is big data architecture designed?","Kunal Jain","Business Analytics"
"64","What is big data and how is big data architecture designed?","Kunal Jain","Hadoop"
"65","What is big data and how is big data architecture designed?","Kunal Jain","Mapreduce"
"66","What is big data and how is big data architecture designed?","Kunal Jain","web analytics"
"67","How to create Financial models flawlessly?","Kunal Jain","Business Analytics"
"68","How to create Financial models flawlessly?","Kunal Jain","Business Intelligence"
"69","How to create Financial models flawlessly?","Kunal Jain","Excel"
"70","How to create Financial models flawlessly?","Kunal Jain","excel modeling"
"71","How to create Financial models flawlessly?","Kunal Jain","financial modeling"
"72","How freshers can ace interviews for Business Analytics roles?","Kunal Jain","analyst"
"73","How freshers can ace interviews for Business Analytics roles?","Kunal Jain","Analytics"
"74","How freshers can ace interviews for Business Analytics roles?","Kunal Jain","Business Analyst"
"75","How freshers can ace interviews for Business Analytics roles?","Kunal Jain","Business Analytics"
"76","How freshers can ace interviews for Business Analytics roles?","Kunal Jain","interview"
"77","Nine productivity boosting tips for SAS Enterprise Guide Users","Kunal Jain","Analytics"
"78","Nine productivity boosting tips for SAS Enterprise Guide Users","Kunal Jain","Business Analytics"
"79","Nine productivity boosting tips for SAS Enterprise Guide Users","Kunal Jain","productivity"
"80","Nine productivity boosting tips for SAS Enterprise Guide Users","Kunal Jain","SAS"
"81","Nine productivity boosting tips for SAS Enterprise Guide Users","Kunal Jain","SAS EG"
"82","Nine productivity boosting tips for SAS Enterprise Guide Users","Kunal Jain","SAS Enterprise Guide"
"83","Nine productivity boosting tips for SAS Enterprise Guide Users","Kunal Jain","tips"
"84","Must read books for Analysts (or people interested in Analytics)","Kunal Jain","Analytics training"
"85","Must read books for Analysts (or people interested in Analytics)","Kunal Jain","books"
"86","Must read books for Analysts (or people interested in Analytics)","Kunal Jain","Business Analytics"
"87","Must read books for Analysts (or people interested in Analytics)","Kunal Jain","Business Intelligence"
"88","Must read books for Analysts (or people interested in Analytics)","Kunal Jain","training"
